"region","reg","regov","nofedgov","edu","norepgov","elect","repower","sharia","biz","equota","privrep","privfed","tension","disrep","age","income","male","urban","nocitizen","means","native","fedrite","fedimpact","fedcorr","muslim","ritual","quran","relstate","imptnce","reledu","sharia2","incomesq","Total.victims","Unemployment","av.salary"
1,"n ossetia",2.745614035,2.605263158,6,2.679824561,1,3.00877193,1,4,1,2.561403509,2.561403509,1,3.478070175,3,2,0,0,1,0,1,4,1,5,0,3,4.030701754,2,2.828947368,2,1,4,77,3.1,9342.6
1,"n ossetia",2.076923077,4,6,1.871794872,3,4,1,3,0,1,2,3,3.256410256,1,4,1,0,1,0,1,2,3,2,0,3,5,3,3.128205128,2.846153846,1,16,77,3.1,9342.6
1,"n ossetia",2,2,4,3,1,1.4,1,4,1,3,3.753846154,3,4,3,3.020512821,1,0,1,0,1,4,1,4,0,4,3.887179487,9,4,4.733333333,1,9.123497963,77,3.1,9342.6
1,"n ossetia",1,3,3,1,3,1,1.453703704,4,0.546296296,4,3,1,1,6,3,0,0,2,0.62037037,1,3,3,2,0,2,3.564814815,3,2.453703704,1.972222222,1,9,77,3.1,9342.6
1,"n ossetia",1,1,2,2,2,1,1.173913043,4,1,4,3,3,2.282608696,1,3,1,0,1,0,1,4,2,3,0,9,5,3,2,1,1,9,77,3.1,9342.6
1,"n ossetia",2.679487179,1,4,1.955128205,2.506410256,1,1.224358974,5,0.576923077,2,2.243589744,1.583333333,3,6,2.641025641,0,0,1,0.224358974,1,4,1,2,0,4,3,2,4,4.314102564,1,6.975016594,77,3.1,9342.6
1,"n ossetia",3,2.443298969,4,2.082474227,2.144329897,2,1.329896907,2,0.845360825,2,2,1,3,4,2,0,1,1,0,0,2,2,2,0,3,4,3,3,3,1,4,77,3.1,9342.6
1,"n ossetia",2.833333333,2.824561404,4,2.49122807,4,3,1,2.850877193,1,2,2,1,2,6,2,0,1,1,0,0,2,2,1,0,3,5,4,3,4,1,4,77,3.1,9342.6
1,"n ossetia",1,1,6,1.979166667,3,2.041666667,2,4,1,3,3,3,3,2,3,0,1,1,0.260416667,0,3.291666667,2.239583333,3,0,3,4,1,3,1,2,9,77,3.1,9342.6
1,"n ossetia",3,1,6,2,2,3,1,4,0,3,3,1.763546798,4,4,4,1,1,3,0,1,4,1,3,0,2,5,3,2.995073892,3,1,16,77,3.1,9342.6
1,"n ossetia",1,3,3,3,1,1,2,4,0,4,3,1,2,4,2,1,1,1,0,0,2.995283019,2,3,0,2,4,2,2,1,2,4,77,3.1,9342.6
1,"n ossetia",2,3,6,4,1,1,1,4,1,1,3,1,3,3,3,0,1,2,0,0,4,1,3,0,2,5,2,2,2.596363636,1,9,77,3.1,9342.6
1,"n ossetia",2,2.305882353,6,2.458823529,2,1.729411765,1.494117647,4,0,3,3,3,4,1,4,1,1,2,0.164705882,1,3,2,3,0,3,4,3,2.858823529,1,1,16,77,3.1,9342.6
1,"n ossetia",4,2,6,4,3,1,1,3,1,1,1,3,4,5,1,1,1,4,0,0,1,1,3,0,1,3,4,4,5,1,1,77,3.1,9342.6
1,"n ossetia",4,2,6,2.606837607,4,1,2,3,0.358974359,3,3,1.991452991,4,3,1,0,1,1.538461538,1,1,3,3,5,0,3,4,2,2,4,2,1,77,3.1,9342.6
